learning start at Tue Apr 10 11:38:13 2018
('episode:', 730000, '/ miss:', 6175, ' / win:', 3825, ' / draw:', 0, ' / statistics:', [(u'average_value', 2.1523771944169147e-05), (u'average_entropy', 0.09385744666280266)])
('episode:', 740000, '/ miss:', 4731, ' / win:', 5269, ' / draw:', 0, ' / statistics:', [(u'average_value', 3.520634196375548e-05), (u'average_entropy', 0.09445126990664955)])
('episode:', 750000, '/ miss:', 4647, ' / win:', 5353, ' / draw:', 0, ' / statistics:', [(u'average_value', 4.3375017210824437e-07), (u'average_entropy', 0.08852879087160352)])
('episode:', 760000, '/ miss:', 4354, ' / win:', 5646, ' / draw:', 0, ' / statistics:', [(u'average_value', 3.550316311334679e-07), (u'average_entropy', 0.07905825300519059)])
('episode:', 770000, '/ miss:', 4387, ' / win:', 5613, ' / draw:', 0, ' / statistics:', [(u'average_value', 5.2727077623012e-05), (u'average_entropy', 0.11107149364000564)])
('episode:', 780000, '/ miss:', 4229, ' / win:', 5771, ' / draw:', 0, ' / statistics:', [(u'average_value', 1.260482592170455e-05), (u'average_entropy', 0.08975050787026831)])
('episode:', 790000, '/ miss:', 4289, ' / win:', 5711, ' / draw:', 0, ' / statistics:', [(u'average_value', 7.121469515966465e-06), (u'average_entropy', 0.0881457855171429)])
('episode:', 800000, '/ miss:', 4229, ' / win:', 5771, ' / draw:', 0, ' / statistics:', [(u'average_value', 3.4893036095966807e-10), (u'average_entropy', 0.10255835035138985)])
('episode:', 810000, '/ miss:', 4169, ' / win:', 5831, ' / draw:', 0, ' / statistics:', [(u'average_value', 2.118153824037197e-07), (u'average_entropy', 0.12177402546393641)])
('episode:', 820000, '/ miss:', 4149, ' / win:', 5851, ' / draw:', 0, ' / statistics:', [(u'average_value', 1.971968173516622e-07), (u'average_entropy', 0.10779737488583611)])
('episode:', 830000, '/ miss:', 4303, ' / win:', 5697, ' / draw:', 0, ' / statistics:', [(u'average_value', 9.429707214942654e-11), (u'average_entropy', 0.16105150613173874)])
('episode:', 840000, '/ miss:', 3586, ' / win:', 6414, ' / draw:', 0, ' / statistics:', [(u'average_value', 4.63310700549818e-50), (u'average_entropy', 0.2070431781784286)])
('episode:', 850000, '/ miss:', 1993, ' / win:', 8007, ' / draw:', 0, ' / statistics:', [(u'average_value', 6.015924778291624e-117), (u'average_entropy', 0.10525123937368043)])
('episode:', 860000, '/ miss:', 1084, ' / win:', 8916, ' / draw:', 0, ' / statistics:', [(u'average_value', 5.805917695436736e-185), (u'average_entropy', 0.08097658246868629)])
('episode:', 870000, '/ miss:', 730, ' / win:', 9270, ' / draw:', 0, ' / statistics:', [(u'average_value', 2.4300881148399602e-253), (u'average_entropy', 0.0707888345219707)])
('episode:', 880000, '/ miss:', 1056, ' / win:', 8944, ' / draw:', 0, ' / statistics:', [(u'average_value', 2.465e-321), (u'average_entropy', 0.06985236615327807)])
('episode:', 890000, '/ miss:', 988, ' / win:', 9012, ' / draw:', 0, ' / statistics:', [(u'average_value', 2.465e-321), (u'average_entropy', 0.07570494544875277)])
('episode:', 900000, '/ miss:', 1072, ' / win:', 3621, ' / draw:', 5307, ' / statistics:', [(u'average_value', 2.465e-321), (u'average_entropy', 0.07717066134981834)])
('episode:', 910000, '/ miss:', 1029, ' / win:', 4962, ' / draw:', 4009, ' / statistics:', [(u'average_value', 2.465e-321), (u'average_entropy', 0.05242153078953261)])
('episode:', 920000, '/ miss:', 1007, ' / win:', 5262, ' / draw:', 3731, ' / statistics:', [(u'average_value', 2.465e-321), (u'average_entropy', 0.05883189175411553)])
('episode:', 930000, '/ miss:', 927, ' / win:', 5731, ' / draw:', 3342, ' / statistics:', [(u'average_value', 2.465e-321), (u'average_entropy', 0.05101958784214904)])
