learning start at Fri Jun 22 16:09:52 2018
('episode:', 730000, '/ miss:', 1530, '/ agari:', 8470, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 4.2632409472676444e-19), ('average_entropy', 0.15969066877866453)])
('episode:', 740000, '/ miss:', 1425, '/ agari:', 8575, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 2.865434611456919e-35), ('average_entropy', 0.16904178372946466)])
('episode:', 750000, '/ miss:', 1311, '/ agari:', 8689, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 2.464847905349209e-103), ('average_entropy', 0.14607181809486364)])
('episode:', 760000, '/ miss:', 916, '/ agari:', 9084, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 1.2489154014750146e-171), ('average_entropy', 0.13163157062296638)])
('episode:', 770000, '/ miss:', 1328, '/ agari:', 8672, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 5.249410695069308e-252), ('average_entropy', 0.08645939036811255)])
('episode:', 780000, '/ miss:', 1244, '/ agari:', 8756, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 2.465e-321), ('average_entropy', 0.08251772563827349)])
('episode:', 790000, '/ miss:', 1028, '/ agari:', 8972, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 2.465e-321), ('average_entropy', 0.0679311753126291)])
('episode:', 800000, '/ miss:', 634, '/ agari:', 9366, '/ draw:', 0, '/ tenpai:', 0, '/ statistics:', [('average_value', 2.465e-321), ('average_entropy', 0.06748282802966916)])
('episode:', 810000, '/ miss:', 545, '/ agari:', 3459, '/ draw:', 5996, '/ tenpai:', 0, '/ statistics:', [('average_value', 2.465e-321), ('average_entropy', 0.08196531877119789)])
('episode:', 820000, '/ miss:', 693, '/ agari:', 4028, '/ draw:', 5279, '/ tenpai:', 0, '/ statistics:', [('average_value', 2.465e-321), ('average_entropy', 0.0815258080068414)])
('episode:', 830000, '/ miss:', 1545, '/ agari:', 4901, '/ draw:', 3554, '/ tenpai:', 0, '/ statistics:', [('average_value', 2.465e-321), ('average_entropy', 0.07495029387884962)])
('episode:', 840000, '/ miss:', 1143, '/ agari:', 5560, '/ draw:', 3297, '/ tenpai:', 0, '/ statistics:', [('average_value', 2.465e-321), ('average_entropy', 0.062123371962265424)])
('episode:', 850000, '/ miss:', 1131, '/ agari:', 5800, '/ draw:', 3069, '/ tenpai:', 0, '/ statistics:', [('average_value', 2.465e-321), ('average_entropy', 0.06068946880897711)])
('episode:', 860000, '/ miss:', 1410, '/ agari:', 5757, '/ draw:', 2833, '/ tenpai:', 0, '/ statistics:', [('average_value', 2.465e-321), ('average_entropy', 0.054171521522533295)])
('episode:', 870000, '/ miss:', 1054, '/ agari:', 6051, '/ draw:', 2895, '/ tenpai:', 0, '/ statistics:', [('average_value', 2.1878457042950898e-36), ('average_entropy', 0.062203691886095605)])
('episode:', 880000, '/ miss:', 927, '/ agari:', 6287, '/ draw:', 2786, '/ tenpai:', 0, '/ statistics:', [('average_value', 3.2869805873678227e-91), ('average_entropy', 0.04855119463768027)])
('episode:', 890000, '/ miss:', 866, '/ agari:', 6298, '/ draw:', 2836, '/ tenpai:', 0, '/ statistics:', [('average_value', 1.751553430858601e-146), ('average_entropy', 0.046429282294913284)])
('episode:', 900000, '/ miss:', 936, '/ agari:', 6297, '/ draw:', 2767, '/ tenpai:', 0, '/ statistics:', [('average_value', 6.63273609423268e-201), ('average_entropy', 0.05306685972365868)])
('episode:', 910000, '/ miss:', 903, '/ agari:', 6433, '/ draw:', 2664, '/ tenpai:', 0, '/ statistics:', [('average_value', 1.0704579358419197e-254), ('average_entropy', 0.05428386432474407)])
