episode,stage,miss,agari,draw,tenpai,average_value,average_entropy
 1470000,5, 313, 3113, 6574, 0, 0.21563126570864255, 0.041095084990138954
 1480000,5, 286, 3360, 6354, 0, 0.21620116543079362, 0.05601587228189378
 1490000,5, 243, 3348, 6409, 0, 0.22913235967974122, 0.04599413150745636
 1500000,5, 311, 3337, 6352, 0, 0.1941360068289643, 0.05238441329029454
 1510000,5, 265, 3262, 6473, 0, 0.21947176264166535, 0.04054669748027755
 1520000,5, 249, 3342, 6409, 0, 0.2046889947100679, 0.04586892049494781
 1530000,5, 287, 3539, 6174, 0, 0.19910628724899734, 0.04701261152611932
 1540000,5, 215, 3363, 6422, 0, 0.24091600318283715, 0.04509172960067106
 1550000,5, 232, 3254, 6514, 0, 0.17241680046501678, 0.04851058243158262
 1560000,5, 245, 3379, 6376, 0, 0.26997676946055105, 0.043651619798361005
 1570000,5, 238, 3531, 6231, 0, 0.23397095656942235, 0.041901175167993486
 1580000,5, 265, 3368, 6367, 0, 0.23819849660223794, 0.04969430238957725
 1590000,5, 254, 3436, 6310, 0, 0.24909696973574352, 0.04522709669268681
 1600000,5, 247, 3479, 6274, 0, 0.24155918557268946, 0.041276595569674904
 1610000,5, 193, 3682, 6125, 0, 0.2610607553016919, 0.04189946557632396
 1620000,5, 268, 3485, 6247, 0, 0.1987654385035117, 0.04817102723156847
 1630000,5, 267, 3302, 6431, 0, 0.25246478131819594, 0.039585067407533536
 1640000,5, 238, 3487, 6275, 0, 0.19778343001407064, 0.044763124465737575
 1650000,5, 278, 3320, 6402, 0, 0.27126734893289034, 0.04133897555810228
 1660000,5, 293, 3327, 6380, 0, 0.24150153039609396, 0.033230091653411585
 1670000,5, 200, 3508, 6292, 0, 0.232966219798506, 0.036440716142795176
 1680000,5, 209, 3428, 6363, 0, 0.21866860517955516, 0.038726510454025954
 1690000,5, 172, 3386, 6442, 0, 0.2438458807844552, 0.036158349226115244
 1700000,5, 255, 3323, 6422, 0, 0.25135021619865383, 0.03785503490264338
 1710000,5, 227, 3256, 6517, 0, 0.20528232487711626, 0.038893395771400406
 1720000,5, 220, 3343, 6437, 0, 0.2698315026143226, 0.034608235970690474
 1730000,5, 190, 3427, 6383, 0, 0.2119777962230575, 0.039916326001498956
 1740000,5, 214, 3439, 6347, 0, 0.25133224018064276, 0.032151198502626446
 1750000,5, 191, 3655, 6154, 0, 0.27151460973556646, 0.032493819586666334
 1760000,5, 175, 3592, 6233, 0, 0.2181827497500708, 0.03889499492266865
 1770000,5, 273, 3465, 6262, 0, 0.2321825673939285, 0.04186673637537011
 1780000,5, 227, 3636, 6137, 0, 0.24413470814082205, 0.03799180597110455
 1790000,5, 219, 3701, 6080, 0, 0.24025035552980697, 0.03384190566275965
 1800000,5, 256, 3405, 6339, 0, 0.25192511117803984, 0.03715946662039814
 1810000,5, 211, 3636, 6153, 0, 0.2157045391458842, 0.03865130353562849
