episode,stage,miss,agari,draw,tenpai,average_value,average_entropy
 520000,0, 10000, 0, 0, 0, 2.1768796724286026e-181, 3.336317432798014
 530000,0, 10000, 0, 0, 0, 3.8083935961803724e-188, 3.3550137658476915
 540000,0, 10000, 0, 0, 0, 7.437817596602561e-195, 3.3493399836535613
 550000,0, 10000, 0, 0, 0, 1.5013712994768844e-201, 3.3419179483710373
 560000,0, 10000, 0, 0, 0, 2.682379732853529e-208, 3.3361643120417255
 570000,0, 10000, 0, 0, 0, 4.811610408185501e-215, 3.3219077472216822
 580000,0, 10000, 0, 0, 0, 7.646887969169749e-222, 3.3325464690970676
 590000,0, 10000, 0, 0, 0, 1.4550942309768098e-228, 3.3283806812409162
 600000,0, 10000, 0, 0, 0, 2.6869659125721648e-235, 3.3379415160957353
 610000,0, 10000, 0, 0, 0, 4.653979237079111e-242, 3.3398816214142464
 620000,0, 10000, 0, 0, 0, 9.613041078893073e-249, 3.3499208597719976
 630000,0, 10000, 0, 0, 0, 1.9776940539364492e-255, 3.35263317529104
 640000,0, 10000, 0, 0, 0, 3.2746761930246777e-262, 3.3544755210491086
 650000,0, 10000, 0, 0, 0, 5.6154624725716664e-269, 3.3538466175629034
 660000,0, 10000, 0, 0, 0, 1.0245718653452167e-275, 3.3518553289375026
 670000,0, 10000, 0, 0, 0, 1.910990736408828e-282, 3.346851927811959
 680000,0, 10000, 0, 0, 0, 3.052287320743537e-289, 3.333501021917758
 690000,0, 10000, 0, 0, 0, 5.943271562621235e-296, 3.330534778781006
 700000,0, 10000, 0, 0, 0, 1.1085153988983032e-302, 3.319679379248727
 710000,0, 10000, 0, 0, 0, 1.992420266441516e-309, 3.316840570790294
 720000,0, 10000, 0, 0, 0, 3.7761502e-316, 3.2976816192114122
 730000,0, 10000, 0, 0, 0, 2.465e-321, 3.3000769476088854
 740000,0, 10000, 0, 0, 0, 2.465e-321, 3.2952127807629585
 750000,0, 10000, 0, 0, 0, 2.465e-321, 3.3004497706902516
 760000,0, 10000, 0, 0, 0, 2.465e-321, 3.296735757890614
 770000,0, 10000, 0, 0, 0, 2.465e-321, 3.285385093313045
